--0.0--i.e.-0/246158056----time (s)-0.0
--0.052811596789665904--i.e.-13000000/246158056----time (s)-764.8
--0.05301471831578--i.e.-13050000/246158056----time (s)-767.49
--0.053217839841894106--i.e.-13100000/246158056----time (s)-770.36
--0.0534209613680082--i.e.-13150000/246158056----time (s)-773.43
--0.0536240828941223--i.e.-13200000/246158056----time (s)-776.24
--0.053827204420236405--i.e.-13250000/246158056----time (s)-778.87
--0.0540303259463505--i.e.-13300000/246158056----time (s)-781.85
--0.0542334474724646--i.e.-13350000/246158056----time (s)-785.07
--0.054436568998578704--i.e.-13400000/246158056----time (s)-788.05
--0.0546396905246928--i.e.-13450000/246158056----time (s)-791.02
--0.0548428120508069--i.e.-13500000/246158056----time (s)-794.39
--0.055045933576921--i.e.-13550000/246158056----time (s)-797.27
--0.0552490551030351--i.e.-13600000/246158056----time (s)-800.39
--0.0554521766291492--i.e.-13650000/246158056----time (s)-803.41
--0.0556552981552633--i.e.-13700000/246158056----time (s)-806.68
--0.0558584196813774--i.e.-13750000/246158056----time (s)-810.15
--0.056061541207491496--i.e.-13800000/246158056----time (s)-813.2
--0.0562646627336056--i.e.-13850000/246158056----time (s)-816.0
--0.0564677842597197--i.e.-13900000/246158056----time (s)-818.54
--0.056670905785833794--i.e.-13950000/246158056----time (s)-821.45
--0.0568740273119479--i.e.-14000000/246158056----time (s)-824.52
--0.057077148838061996--i.e.-14050000/246158056----time (s)-827.26
--0.05728027036417609--i.e.-14100000/246158056----time (s)-830.13
--0.0574833918902902--i.e.-14150000/246158056----time (s)-833.1
--0.057686513416404295--i.e.-14200000/246158056----time (s)-836.21
--0.0578896349425184--i.e.-14250000/246158056----time (s)-839.1
--0.058092756468632496--i.e.-14300000/246158056----time (s)-841.83
--0.058295877994746594--i.e.-14350000/246158056----time (s)-844.86
--0.0584989995208607--i.e.-14400000/246158056----time (s)-847.75
--0.058702121046974795--i.e.-14450000/246158056----time (s)-850.74
--0.05890524257308889--i.e.-14500000/246158056----time (s)-853.61
--0.059108364099203--i.e.-14550000/246158056----time (s)-856.53
--0.059311485625317094--i.e.-14600000/246158056----time (s)-859.47
--0.05951460715143119--i.e.-14650000/246158056----time (s)-862.36
--0.059717728677545295--i.e.-14700000/246158056----time (s)-865.13
--0.05992085020365939--i.e.-14750000/246158056----time (s)-868.14
--0.06012397172977349--i.e.-14800000/246158056----time (s)-871.49
--0.060327093255887594--i.e.-14850000/246158056----time (s)-874.54
--0.06053021478200169--i.e.-14900000/246158056----time (s)-877.79
--0.06073333630811579--i.e.-14950000/246158056----time (s)-880.85
--0.06093645783422989--i.e.-15000000/246158056----time (s)-883.7
--0.06113957936034399--i.e.-15050000/246158056----time (s)-886.81
--0.06134270088645809--i.e.-15100000/246158056----time (s)-889.68
--0.06154582241257219--i.e.-15150000/246158056----time (s)-892.77
--0.06174894393868629--i.e.-15200000/246158056----time (s)-895.82
--0.061952065464800386--i.e.-15250000/246158056----time (s)-898.84
--0.06215518699091449--i.e.-15300000/246158056----time (s)-901.84
--0.06235830851702859--i.e.-15350000/246158056----time (s)-904.81
--0.06256143004314269--i.e.-15400000/246158056----time (s)-907.74
--0.06276455156925678--i.e.-15450000/246158056----time (s)-910.99
--0.06296767309537088--i.e.-15500000/246158056----time (s)-914.09
--0.06317079462148499--i.e.-15550000/246158056----time (s)-917.04
--0.06337391614759909--i.e.-15600000/246158056----time (s)-919.93
--0.06357703767371319--i.e.-15650000/246158056----time (s)-922.81
--0.06378015919982728--i.e.-15700000/246158056----time (s)-925.8
--0.06398328072594138--i.e.-15750000/246158056----time (s)-928.91
--0.06418640225205549--i.e.-15800000/246158056----time (s)-931.77
--0.06438952377816959--i.e.-15850000/246158056----time (s)-934.87
--0.06459264530428369--i.e.-15900000/246158056----time (s)-937.63
--0.06479576683039778--i.e.-15950000/246158056----time (s)-940.44
--0.06499888835651188--i.e.-16000000/246158056----time (s)-943.39
--0.06520200988262598--i.e.-16050000/246158056----time (s)-946.19
--0.06540513140874009--i.e.-16100000/246158056----time (s)-949.43
--0.06560825293485419--i.e.-16150000/246158056----time (s)-952.3
--0.06581137446096828--i.e.-16200000/246158056----time (s)-955.26
--0.06601449598708238--i.e.-16250000/246158056----time (s)-958.2
--0.06621761751319648--i.e.-16300000/246158056----time (s)-961.56
--0.06642073903931058--i.e.-16350000/246158056----time (s)-964.57
--0.06662386056542469--i.e.-16400000/246158056----time (s)-967.44
--0.06682698209153878--i.e.-16450000/246158056----time (s)-970.47
--0.06703010361765288--i.e.-16500000/246158056----time (s)-973.35
--0.06723322514376698--i.e.-16550000/246158056----time (s)-976.4
--0.06743634666988108--i.e.-16600000/246158056----time (s)-979.5
--0.06763946819599517--i.e.-16650000/246158056----time (s)-983.1
--0.06784258972210928--i.e.-16700000/246158056----time (s)-986.11
--0.06804571124822338--i.e.-16750000/246158056----time (s)-989.74
--0.06824883277433748--i.e.-16800000/246158056----time (s)-992.55
--0.06845195430045158--i.e.-16850000/246158056----time (s)-995.58
--0.06865507582656567--i.e.-16900000/246158056----time (s)-998.47
--0.06885819735267977--i.e.-16950000/246158056----time (s)-1001.52
--0.06906131887879388--i.e.-17000000/246158056----time (s)-1004.15
--0.06926444040490798--i.e.-17050000/246158056----time (s)-1007.36
--0.06946756193102208--i.e.-17100000/246158056----time (s)-1010.4
--0.06967068345713617--i.e.-17150000/246158056----time (s)-1013.28
--0.06987380498325027--i.e.-17200000/246158056----time (s)-1016.18
--0.07007692650936437--i.e.-17250000/246158056----time (s)-1019.27
--0.07028004803547848--i.e.-17300000/246158056----time (s)-1021.97
--0.07048316956159258--i.e.-17350000/246158056----time (s)-1025.05
--0.07068629108770667--i.e.-17400000/246158056----time (s)-1027.91
--0.07088941261382077--i.e.-17450000/246158056----time (s)-1031.03
--0.07109253413993487--i.e.-17500000/246158056----time (s)-1033.9
--0.07129565566604897--i.e.-17550000/246158056----time (s)-1036.76
--0.07149877719216308--i.e.-17600000/246158056----time (s)-1039.76
--0.07170189871827717--i.e.-17650000/246158056----time (s)-1042.74
--0.07190502024439127--i.e.-17700000/246158056----time (s)-1045.58
--0.07210814177050537--i.e.-17750000/246158056----time (s)-1048.51
--0.07231126329661947--i.e.-17800000/246158056----time (s)-1051.09
--0.07251438482273356--i.e.-17850000/246158056----time (s)-1054.25
--0.07271750634884767--i.e.-17900000/246158056----time (s)-1057.42
--0.07292062787496177--i.e.-17950000/246158056----time (s)-1060.09
--0.07312374940107587--i.e.-18000000/246158056----time (s)-1062.92
--0.07332687092718997--i.e.-18050000/246158056----time (s)-1065.87
--0.07352999245330406--i.e.-18100000/246158056----time (s)-1068.71
--0.07373311397941816--i.e.-18150000/246158056----time (s)-1071.74
--0.07393623550553227--i.e.-18200000/246158056----time (s)-1074.77
--0.07413935703164637--i.e.-18250000/246158056----time (s)-1077.72
--0.07434247855776047--i.e.-18300000/246158056----time (s)-1080.53
--0.07454560008387456--i.e.-18350000/246158056----time (s)-1083.28
--0.07474872160998866--i.e.-18400000/246158056----time (s)-1086.19
--0.07495184313610276--i.e.-18450000/246158056----time (s)-1089.18
--0.07515496466221687--i.e.-18500000/246158056----time (s)-1092.13
--0.07535808618833097--i.e.-18550000/246158056----time (s)-1094.9
--0.07556120771444506--i.e.-18600000/246158056----time (s)-1097.95
--0.07576432924055916--i.e.-18650000/246158056----time (s)-1100.85
--0.07596745076667326--i.e.-18700000/246158056----time (s)-1104.06
--0.07617057229278736--i.e.-18750000/246158056----time (s)-1106.98
--0.07637369381890147--i.e.-18800000/246158056----time (s)-1110.41
--0.07657681534501556--i.e.-18850000/246158056----time (s)-1113.55
